SMILES,CHANNEL_OUTCOME,assay_type
Clc1ccc(NC(=O)N(C)OC)cc1Cl,inactive,Liver
C=C(C)CNCC,inactive,Liver
C=CC(C)(C)O,inactive,Liver
Cc1ccc(C)o1,inactive,Liver
O=Cc1ccc(CO)o1,agonist,Liver
Nc1cc(Cl)ccc1N,agonist,Liver
BrC(Cl)Cl,inactive,Liver
O.O.O.O.O.O.Cl[Dy](Cl)Cl,inactive,Liver
O=C(c1ccc(O)cc1O)c2ccccc2,antagonist,Liver
CN3[C@H]1CC[C@@H]3C[C@@H](C1)OC(=O)C(CO)c2ccccc2,inactive,Liver
O=C(C)SCc1ccco1,inactive,Liver
CC(=O)O[Pb](c1ccccc1)(c2ccccc2)c3ccccc3,antagonist,Liver
c1cc(ccc1)c2ccccc2,agonist,Liver
O=C(CCc1ccc(O)cc1)c2c(O)cc(O)cc2O,antagonist,Liver
O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)CO,inactive,Liver
[Na+].[O-]C(=O)CSC#N,inactive,Liver
ClC(Cl)(Cl)C(C)(C)O,inactive,Liver
CN(C)CCOC(=O)C=C,inactive,Liver
CC(C)[C@@H]1CC[C@@H](C)CC1=O,inactive,Liver
Oc1ccccc1C(=O)OCC(CC)CCCC,agonist,Liver
C=C(C)C(=O)OCCCCCCCC(C)C,inactive,Liver
O=C(O)C=Cc1ccc(C=CC(=O)O)cc1,inactive,Liver
CCN(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12,antagonist,Liver
O=C(OCC)CN2c1c(cccc1Cl)SC2=O,antagonist,Liver
OC=1C(=O)C(O)=C(O)C(=O)C=1O,inactive,Liver
C=O,inactive,Liver
CN(C)[C@@H](CCOc2cccc1ccccc12)c3ccccc3,antagonist,Liver
Nc1ccc(cc1)C(=O)OCCC,inactive,Liver
Clc1ccc(O)c(c1)C2CCCC2,agonist,Liver
c2cc3ccc1ccccc1c3cc2,agonist,Liver
CC(CC)COC(=O)CC(C)C,agonist,Liver
Oc1cc(cc(O)c1O)C(=O)OCCCCCCCC,antagonist,Liver
CC(=C)[C@@H]1CC[C@@H](C)C[C@@H]1O,inactive,Liver
O=C(c1ccccc1)C(C)(C)C,inactive,Liver
c1cc5ccccc5cc1Nc2ccc(cc2)Nc3cc4ccccc4cc3,agonist,Liver
CCCC\N=C=O,inactive,Liver
Oc3ccc4C[C@H]1N(CC[C@@]2(CCCC[C@@H]12)c4c3)CC=C,inactive,Liver
O=C2c1ccccc1C(=O)c3c2c(N)ccc3N,antagonist,Liver
Cl.O=C(OC)c1ccccc1C(=O)c3ccc(OCCN2CCCCC2)cc3,antagonist,Liver
Fc2ccccc2c1ccccc1,agonist,Liver
Cn2[n+](C)c(cc2c1ccccc1)c3ccccc3.[O-]S(=O)(=O)OC,inactive,Liver
CC[C@@H](CO)NC(=O)[C@@H]3C=C2c4cccc1c4c(cn1C)C[C@H]2N(C)C3,inactive,Liver
Nc1cc(Cl)c(C)cc1,inactive,Liver
[Br-].CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,antagonist,Liver
O=C(Nc1ncc(s1)[N+]([O-])=O)c2cccs2,inactive,Liver
C2COC1(CCCCO1)CC2,inactive,Liver
CCOc1cc(ccc1O)C=O,inactive,Liver
Oc1ccc(cc1O)[C@@H](O)CN,inactive,Liver
OC(NC(=O)OCC)C(Cl)(Cl)Cl,inactive,Liver
CCCCCC(=O)O,inactive,Liver
Cl.Clc2cccc(Cl)c2\N=C1/NCCN1,inactive,Liver
CC(CCC)C(=O)O,inactive,Liver
Nc1cc(cc(Cl)c1O)[N+]([O-])=O,inactive,Liver
CCCCCCCN,inactive,Liver
BrCC,inactive,Liver
Clc1cc(Cl)c(Cl)nc1O,inactive,Liver
COc1cc3c(cc1OC)cc(CC)nc3Cc2ccccc2,agonist,Liver
O=C(O)c1ccccc1C(=O)Nc3cccc2ccccc23,inactive,Liver
